"name","owner","id","genre","followers","total.tracks","color"
"DnB 2024 | Best Drum & Bass Bangers","Discover DnB","3gqEaRQUN0xYi9kHexWQpY","DnB",147086,222,"#1B9E77"
"Dubstep Don","Spotify","37i9dQZF1DX5Q27plkaOQ3","Dubstep",968799,125,"#D95F02"
"Hardstyle Bangers","Spotify","37i9dQZF1DX0pH2SQMRXnC","Hardstyle",1292401,150,"#7570B3"
"Deep House 2024","selected.","6vDGVr652ztNWKZuHvsFvx","House",6173388,100,"#E7298A"
"RIDDIM 2024","NDBM","5sXJsa3I49Tgs4WO1JRmbm","Riddim",24673,167,"#66A61E"
"Techno Music 2024 💊","Soave","18vUeZ9BdtMRNV6gI8RnR6","Techno",537356,151,"#E6AB02"
"Trance Mission","Spotify","37i9dQZF1DX91oIci4su1D","Trance",815237,200,"#A6761D"
