"track.id","track.name","track.popularity","track.album.release_date","track.duration_ms","track.explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","key_name","mode_name","key_mode","time_signature","genre","color"
"6NheG5mzQSKKu5gMGgSUy5","True Colors",35,"2023-07-07",209880,FALSE,0.654,0.741,9,-7.428,0,0.0394,0.00383,0.00548,0.132,0.0399,126.031,"A","minor","A minor",4,"Trance","#A6761D"
"1eRQO23zBPpA8JuYrgSLiP","Sweet Release - Shugz Remix",35,"2024-02-16",194285,FALSE,0.533,0.996,0,-3.439,1,0.0458,0.000164,0.57,0.287,0.519,146.95,"C","major","C major",4,"Trance","#A6761D"
"0E6RN0HgeZYglKjTbjeC3c","Save Earth",35,"2023-06-30",193721,FALSE,0.546,0.87,7,-5.986,1,0.0332,0.134,0.71,0.239,0.383,132.03,"G","major","G major",3,"Trance","#A6761D"
"5SNg13REo7ed6Dm0sXGgz8","Forever Young",35,"2023-11-17",195483,FALSE,0.434,0.868,2,-6.889,0,0.0384,0.000379,0.111,0.359,0.0758,123.92,"D","minor","D minor",4,"Trance","#A6761D"
"4ke138ZJyYRmLmEj5IKhRY","Benirrás",35,"2023-12-08",496119,FALSE,0.602,0.895,9,-5.557,0,0.0402,0.0161,0.0229,0.288,0.147,134.014,"A","minor","A minor",4,"Trance","#A6761D"
"1EHa4jVUQri79NcoFeuzZG","The Wave (is Coming) (York Back To The Roots Mix)",35,"2023-10-27",210434,FALSE,0.541,0.981,2,-5.736,1,0.0349,0.0021,0.885,0.379,0.301,138.015,"D","major","D major",4,"Trance","#A6761D"
"5GZ65rqM6LT70Qn9tUnxwj","Shelter",35,"2023-04-28",189083,FALSE,0.389,0.8,4,-9.037,0,0.0591,0.00832,0.292,0.427,0.116,133.002,"E","minor","E minor",4,"Trance","#A6761D"
"4R7fUqdunkboVEVxVZQC3K","Other Eye",35,"2023-08-04",299212,FALSE,0.596,0.917,6,-5.956,0,0.054,0.00464,0.00859,0.11,0.123,127.971,"F#","minor","F# minor",4,"Trance","#A6761D"
"0iF3VTHA1QSrUZRjsaGpX2","Elevate",35,"2024-04-19",226285,FALSE,0.444,0.959,6,-6.396,0,0.0392,0.0056,0.876,0.948,0.325,139.992,"F#","minor","F# minor",4,"Trance","#A6761D"
"5hsZSzw7EVCbo1LHfC6PjO","Connect",34,"2023-04-28",199392,FALSE,0.567,0.948,0,-3.739,1,0.0357,0.000583,0.821,0.299,0.0612,127.008,"C","major","C major",4,"Trance","#A6761D"
